Kundenr,Tur-id,Kundenavn,Hvorav PPL frys,Volum,Antall leveranser,PPL,Leveringsdag kunde,Leveringstid kunde fra,Leveringstid kunde til
3907,3101,Linja Avd Høgvoll 10012-1000,0.5,475.45,1,1.0,Onsdag,08:20,10:20
8266,3102,M Supply 5 Ålesund,0.5,1177.1,1,1.5,Onsdag,11:25,13:25
1056,3452,Magnifikk,0.5,827.05,1,1.5,Onsdag,10:10,12:10
3438,3452,Mardini Spiseri,0.5,800.6,1,1.5,Onsdag,10:15,12:15
5263,3551,Matstova Oppstryn,0.5,518.0,1,1.0,Onsdag,10:35,12:35
3735,3251,Meny Fosnavåg,0.5,6504.82,1,7.75,Onsdag,17:35,19:35
8620,3108,Meny Lerstad,1.0,7244.3,1,8.5,Onsdag,19:40,21:40
8588,3701,Mf Suløy Catering 100004,0.5,1340.76,1,1.5,Onsdag,06:10,08:10
12009,3051,Miljøstasjonen Hig,0.0,0.0,28,0.0,Onsdag,09:30,11:30
1097,3452,Minibakeriet,0.0,30.0,1,0.33,Onsdag,10:25,12:25
3643,3451,Mix Måløy Ny,1.0,2514.98,1,4.5,Onsdag,11:45,13:45
7587,3151,Mmc First Process Digernes,0.5,664.0,1,1.5,Onsdag,07:20,09:20
3770,3201,Muritunet As,0.5,1428.25,1,2.5,Onsdag,08:55,10:55
8764,3102,Møre Supply,0.5,208.2,1,1.0,Onsdag,11:25,13:25
3623,3451,Måløy Spiskammers,0.5,824.56,1,1.5,Onsdag,11:15,13:15
3865,3451,Måløy Vg Skule,0.5,421.4,1,1.5,Onsdag,10:30,12:30
3984,3501,Naustet Grill,1.0,2916.95,1,2.5,Onsdag,10:00,12:00
6644,3201,Nilsgardstunet,0.5,900.58,1,2.5,Onsdag,07:25,09:25
8038,3151,Nor F. Bertel.o Steen,0.5,675.06,1,1.0,Onsdag,07:10,09:10
9258,3052,Nor F. Color Line,0.5,612.4,1,1.5,Onsdag,12:00,14:00
8032,3751,Nor F. Optimar,0.5,178.03,1,1.0,Onsdag,09:25,11:25
2393,3151,Nor F. Vard Brattvåg,0.5,438.4,1,1.0,Onsdag,10:50,12:50
8073,3057,Nor F. Vard Electro,0.02,815.9,1,1.02,Onsdag,11:55,13:55
7489,3151,Norbruk Vard Søvika,0.5,531.16,1,1.0,Onsdag,09:15,11:15
4002,3452,Nordfjord Hotell,0.5,991.27,1,2.0,Onsdag,11:35,13:35
10096,3101,Norengros Ødegaard Engros,0.0,370.2,1,0.5,Onsdag,09:20,11:20
7925,3041,Nørve Barnehage 2024,0.5,128.4,1,1.0,Onsdag,07:30,09:30
774,3551,O.l. Brekke Kafe Catering,0.5,530.83,1,1.0,Onsdag,08:55,10:55
4047,3151,Obs Bygg Digernes,0.0,257.6,1,0.5,Onsdag,07:30,09:30
13115,3451,Oldeide Matsenter Storhush.,0.5,860.8,1,1.5,Onsdag,10:50,12:50
2373,3702,Posten Restaurant Og Bar,0.5,1701.6,1,2.95,Onsdag,16:45,18:45
13124,3701,Quality Hotel Ulstein,1.0,4040.3,1,4.0,Onsdag,07:50,09:50
8929,3054,Racoon Coffee,0.0,160.1,1,0.5,Onsdag,16:20,18:20
3338,3651,Remmemsvik Kiosk & Gatekjøkken,1.0,1087.5,1,1.5,Onsdag,09:15,11:15
5901,3701,Rem-servering,0.5,1009.4,1,2.0,Onsdag,08:25,10:25
13067,3101,Sabrura Moa,0.0,300.0,1,0.5,Onsdag,08:50,10:50
7905,3052,Sanitetshjemmet Bokollektiv,0.5,907.0,1,1.0,Onsdag,11:26,13:26
8850,3052,Scandic Parken Hotell Mat,0.0,302.0,1,1.0,Onsdag,12:35,14:35
8564,3751,Seafood Farmers Of Norway,0.5,1145.8,1,2.5,Onsdag,09:15,11:15
9330,3052,Sjøbua Restaurant,0.5,228.6,1,1.0,Onsdag,13:10,15:10
6017,3651,Sjøholt Catering As,0.5,186.6,1,1.0,Onsdag,07:10,09:10
5904,3452,Sjøkanten Cafe,1.0,2173.7,1,2.5,Onsdag,09:45,11:45
7915,3057,Skodje Barnehage 2024,0.5,292.3,1,1.0,Onsdag,11:25,13:25
6769,3551,Smak Kafe & Catering,0.0,300.0,1,0.5,Onsdag,08:05,10:05
7325,3702,Snorrebuda,1.0,2489.14,1,3.5,Onsdag,17:35,19:35
