Kundenr,Tur-id,Kundenavn,Hvorav PPL frys,Volum,Antall leveranser,PPL,Leveringsdag kunde,Leveringstid kunde fra,Leveringstid kunde til
7627,5151,Sperre Industri Kantine,0.5,1262.67,1,2.0,Fredag,08:10,10:10
8479,5101,Spisestua Kafe Og Restaurant,0.0,300.0,1,0.5,Fredag,08:40,10:40
9159,5402,Sportsparken Vegsund,0.0,121.4,1,0.5,Fredag,16:35,18:35
5892,5751,Ssp Aksla Int A331 Aes,0.0,300.0,1,0.5,Fredag,08:30,10:30
5888,5751,Ssp O'learys A327 Aes,0.5,251.9,1,1.0,Fredag,08:30,10:30
5894,5751,Ssp Point Dom A328 Aes,0.0,747.4,1,1.0,Fredag,08:30,10:30
5895,5751,Ssp Prod.kjøkken Y018 Aes,0.0,473.8,1,0.5,Fredag,08:30,10:30
5887,5751,Ssp Upper Crust A326 Aes,0.0,69.3,1,0.5,Fredag,08:30,10:30
1699,5701,St1 Ulsteinvik 9109,0.0,611.3,1,1.0,Fredag,08:45,10:45
1696,5651,St1 Ørskog 9415,1.0,1984.1,1,2.5,Fredag,07:40,09:40
6538,5601,Storfjord Gastropub,0.5,498.58,1,1.5,Fredag,10:05,12:05
6457,5601,Strandafjellet Rest.drift As,1.0,3712.7,2,4.5,Fredag,08:45,10:45
6764,5551,Stryn Bensinstasjon Esso,0.5,1950.79,1,2.5,Fredag,07:55,09:55
2161,5551,Stryn Kaffebar Og Vertshus,0.5,597.2,1,1.0,Fredag,10:30,12:30
8675,5052,Stuen As,1.0,22.8,2,1.0,Fredag,12:40,14:40
7494,5751,Subsea 7 Vigra Spoolbase,1.0,1544.46,1,2.0,Fredag,07:45,09:45
6700,5701,Sunnmøre Folkehøgskule,0.5,630.7,1,1.5,Fredag,07:50,09:50
9077,5054,Tajmahal,0.5,1116.23,1,2.0,Fredag,16:20,18:20
7053,5151,Thai Mix,0.5,956.9,1,1.5,Fredag,08:40,10:40
13314,5451,Thon Hotel Måløy 635102,0.0,31.0,1,0.0,Fredag,09:45,11:45
1824,5501,Tik Cafe & Restaurant,0.5,740.89,1,1.0,Fredag,07:50,09:50
12208,5501,Trsp.o Ørstaterminalen,0.0,0.0,1,0.0,Fredag,10:50,12:50
12203,5201,"Trsp.o. Berdal, Valldal",0.0,0.0,1,0.0,Fredag,11:10,13:10
12217,5201,Trsp.o. Valldal Grønt,0.0,0.0,1,0.0,Fredag,12:15,14:15
12220,5501,Trsp.o. Volda Fiskemat,0.0,0.0,1,0.0,Fredag,10:30,12:30
8478,5052,Vard Group Skansekaia 422571,0.5,634.2,1,1.5,Fredag,11:15,13:15
13023,5651,Vestnes Fjordhotel,0.0,0.0,1,0.5,Fredag,09:15,11:15
13123,5651,Vestnes Sentralkjøkken,0.0,300.0,1,0.5,Fredag,09:05,11:05
8005,5051,Vinni Bar Og Restaurant,0.5,567.2,1,1.0,Fredag,07:20,09:20
8517,5101,Vinterhagen,0.5,1945.57,1,2.5,Fredag,08:00,10:00
8027,5501,Westres Kond. Avd Sunn Og God,0.5,882.5,1,1.0,Fredag,07:55,09:55
8633,5054,Wok & Grill,0.0,10.0,1,0.5,Fredag,17:35,19:35
8343,5051,Xl Diner,0.5,445.8,2,2.0,Fredag,09:24,11:24
8515,5751,Xl Food Company,0.0,494.07,1,1.0,Fredag,08:50,10:50
8555,5051,Zuuma,0.5,499.1,1,1.04,Fredag,09:15,11:15
8348,5101,Ålesund Folkehøgskole,0.0,300.0,1,0.5,Fredag,09:30,11:30
