customer_id,customer_name,address,postal_code,latitude,longitude,tw_start,tw_end,ppl,ppl_freeze,volume_m3,weight_kg,vehicle_type,tour_id,service_time_min
2908,Kiwi 908 Klokkersund,NEDRE KLOKKERSUNDVEGEN 2,6015.0,62.466608,6.246044,16:25,18:25,8.38,0.0,8098.64,0.0,1,5752,24.9
2939,Kiwi 909 Flisnes,FLISNESVEGEN 1,6012.0,62.4319749,6.4127797,17:00,19:00,7.566,0.0,8048.72,0.0,1,5402,29.4
2942,Kiwi 910 Kverve,Kverve,6008.0,62.49102,6.1913,10:40,12:40,6.35,0.0,6230.05,0.0,1,5751,18.3
2946,Kiwi 911 Fiskarstrand,Fiskarstrand,6037.0,62.4402429,6.2730816,11:15,13:15,2.7,0.0,2049.99,0.0,1,5401,17.6
2948,Kiwi 912 Stranda,Kiwi Stranda,,62.307148,6.945131,09:50,11:50,8.1,0.0,8041.67,0.0,1,5601,20.9
2950,Kiwi 913 Stryn,Kiwi Stryn,,61.903006,6.71997,07:30,09:30,9.833,0.0,10064.34,0.0,1,5551,32.7
2928,Kiwi 914 Ulsteinvik,Kiwi Ulsteinvik,,62.3402676,5.854927,15:25,17:25,6.805999999999999,0.0,4987.530000000001,0.0,1,5702,44.0
2953,Kiwi 915 Valderøy,Valderøy,6050.0,62.5068,6.10245,10:20,12:20,8.42,0.0,7584.67,0.0,1,5751,24.0
2955,Kiwi 916 Kremmergaarden,RASMUS RØNNEBERGS GATE 6,6002.0,62.4712466,6.1538577,16:15,18:15,5.85,0.5,5674.69,0.0,1,5104,33.3
2957,Kiwi 917 Myrvåg,Kiwi Myrvåg,,62.277182,5.80352,09:15,11:15,9.216,0.0,8927.29,0.0,1,5701,31.3
2959,Kiwi 918 Langevåg,Kiwi Langevåg,,62.4407026,6.1998007,15:35,17:35,4.2,0.0,3532.55,0.0,1,5402,23.5
2956,Kiwi 919 Nedre Strandgate,NEDRE STRANDGATE 51,6005.0,62.470082,6.140048,17:05,19:05,7.5,0.5,7314.24,0.0,1,5104,20.2
2947,Kiwi 920 Breivika,LERSTADVEGEN 545,6018.0,62.471726,6.363353,15:30,17:30,6.43,0.0,7826.97,0.0,1,5752,27.6
2930,Kiwi 921 Vestnes,Kiwi Vestnes,,62.6235306,7.0902534,09:25,11:25,6.64,0.0,8164.98,0.0,1,5651,30.3
2940,Kiwi 923 Hatlane,SMEDGARDEN 1,6016.0,62.4604828,6.2686763,16:00,18:00,5.7,0.0,5818.21,0.0,1,5752,20.9
2961,Kiwi 924 Vallekrysset,Vallekrysset,6013.0,62.47913,6.66524,06:40,08:40,5.2,0.0,4953.63,0.0,1,5651,17.8
2937,Kiwi 925 Meieribygget Ørsta,Ørsta,6150.0,62.1991,6.12729,07:10,09:10,5.333,0.0,5503.89,0.0,1,5501,20.0
6344,Kysten Rundt Bryggja,Bryggja,6720.0,61.845,5.487,07:46,09:46,2.5,2.0,1882.33,0.0,1,5451,11.8
9013,Meet & Eat,Ålesund,6002.0,62.466048,6.356375,07:10,09:10,1.0,0.5,838.8,0.0,1,5101,7.2
3735,Meny Fosnavåg,Meny Fosnavåg,,62.34287,5.6306574,17:20,19:20,1.5,0.0,1508.62,0.0,1,5702,23.6
8620,Meny Lerstad,LERSTADVEGEN 291,6015.0,62.468368,6.292074,18:00,20:00,7.12,0.5,7194.79,0.0,1,5752,32.6
8349,Milk Bar,SKATEFLUKAIA 1B,6002.0,62.4744062,6.155797,11:25,13:25,0.5,0.0,61.89,0.0,1,5052,7.1
2371,Millennium Kafe,Ålesund,6002.0,62.37183,6.02925,07:30,09:30,1.0,0.5,623.2,0.0,1,5701,7.2
8785,Molo Brew,KEISER WILHELMS GATE 2,6003.0,62.4695051,6.1521612,08:50,10:50,1.0,0.5,766.22,0.0,1,5051,7.0
3770,Muritunet As,Valldal,6210.0,62.29746,7.25305,08:35,10:35,1.0,0.0,1300.0,0.0,1,5201,9.1
13306,Napoli Pizzeria Stryn,Tonningsgata,6783.0,61.90536178422537,6.725944542017739,10:35,12:35,2.0,0.5,1578.5,0.0,1,5551,13.0
