algorithm,instance,run,best_cost,iteration_found_best
URS,RC1_6_8.TXT,1,18309.72,4995
URS,RC1_6_8.TXT,2,18357.02,4999
URS,RC1_6_8.TXT,3,18387.49,4999
URS,RC1_6_8.TXT,4,18891.33,4999
URS,RC1_6_8.TXT,5,18629.30,4998
URS,RC1_6_8.TXT,6,18583.12,4997
URS,RC1_6_8.TXT,7,18640.81,4994
URS,RC1_6_8.TXT,8,18687.13,4998
URS,RC1_6_8.TXT,9,18391.09,4996
URS,RC1_6_8.TXT,10,18839.06,4999
URS,RC1_6_9.TXT,1,18593.81,4991
URS,RC1_6_9.TXT,2,18532.03,4999
URS,RC1_6_9.TXT,3,18500.87,4999
URS,RC1_6_9.TXT,4,18568.85,4998
URS,RC1_6_9.TXT,5,18374.08,4999
URS,RC1_6_9.TXT,6,18203.64,4991
URS,RC1_6_9.TXT,7,18767.44,4995
URS,RC1_6_9.TXT,8,18634.51,4997
URS,RC1_6_9.TXT,9,18333.32,4998
URS,RC1_6_9.TXT,10,18263.41,4998
URS,RC2_6_1.TXT,1,12825.11,3251
URS,RC2_6_1.TXT,2,12518.68,4993
URS,RC2_6_1.TXT,3,12784.37,4972
URS,RC2_6_1.TXT,4,12551.92,4993
URS,RC2_6_1.TXT,5,12758.29,4996
URS,RC2_6_1.TXT,6,12869.57,4994
URS,RC2_6_1.TXT,7,12829.52,4994
URS,RC2_6_1.TXT,8,12781.33,4995
URS,RC2_6_1.TXT,9,12759.53,4997
URS,RC2_6_1.TXT,10,12879.55,4998
URS,RC2_6_10.TXT,1,9691.51,4996
URS,RC2_6_10.TXT,2,10001.80,4997
URS,RC2_6_10.TXT,3,9798.76,4983
URS,RC2_6_10.TXT,4,9812.59,4997
URS,RC2_6_10.TXT,5,9872.44,4999
URS,RC2_6_10.TXT,6,9853.72,4976
URS,RC2_6_10.TXT,7,9899.76,4997
URS,RC2_6_10.TXT,8,9803.72,4994
URS,RC2_6_10.TXT,9,9742.46,4999
URS,RC2_6_10.TXT,10,9858.29,4998
URS,RC2_6_2.TXT,1,11395.80,4997
URS,RC2_6_2.TXT,2,11056.25,4999
URS,RC2_6_2.TXT,3,11120.38,4996
URS,RC2_6_2.TXT,4,10982.60,4998
URS,RC2_6_2.TXT,5,11245.20,4991
URS,RC2_6_2.TXT,6,10977.32,4969
URS,RC2_6_2.TXT,7,11126.07,4998
URS,RC2_6_2.TXT,8,11122.72,4995
URS,RC2_6_2.TXT,9,10971.71,4997
URS,RC2_6_2.TXT,10,11202.68,4995
URS,RC2_6_3.TXT,1,9905.29,4994
URS,RC2_6_3.TXT,2,9555.93,4998
URS,RC2_6_3.TXT,3,9537.40,4999
URS,RC2_6_3.TXT,4,9813.74,4997
URS,RC2_6_3.TXT,5,9626.80,4991
URS,RC2_6_3.TXT,6,9740.78,4999
URS,RC2_6_3.TXT,7,9706.39,4995
URS,RC2_6_3.TXT,8,9665.28,4998
URS,RC2_6_3.TXT,9,9621.58,4997
URS,RC2_6_3.TXT,10,9557.45,4994
URS,RC2_6_4.TXT,1,7621.69,4992
URS,RC2_6_4.TXT,2,8161.70,4975
URS,RC2_6_4.TXT,3,7801.45,4996
URS,RC2_6_4.TXT,4,7762.28,4990
URS,RC2_6_4.TXT,5,7955.69,4999
URS,RC2_6_4.TXT,6,7800.63,4979
URS,RC2_6_4.TXT,7,8036.33,4998
URS,RC2_6_4.TXT,8,7775.12,4995
URS,RC2_6_4.TXT,9,7831.96,4991
URS,RC2_6_4.TXT,10,7622.73,4990
URS,RC2_6_5.TXT,1,11812.00,4999
URS,RC2_6_5.TXT,2,11976.28,4998
URS,RC2_6_5.TXT,3,11862.83,4999
URS,RC2_6_5.TXT,4,11897.73,4972
URS,RC2_6_5.TXT,5,11690.45,4969
URS,RC2_6_5.TXT,6,11913.90,4981
URS,RC2_6_5.TXT,7,11927.40,4999
URS,RC2_6_5.TXT,8,11735.39,4988
URS,RC2_6_5.TXT,9,12134.76,4997
URS,RC2_6_5.TXT,10,11912.12,4998
URS,RC2_6_6.TXT,1,11704.82,4999
URS,RC2_6_6.TXT,2,11534.00,4999
URS,RC2_6_6.TXT,3,11420.28,4999
URS,RC2_6_6.TXT,4,11601.02,4897
URS,RC2_6_6.TXT,5,11569.66,4999
URS,RC2_6_6.TXT,6,11829.13,4994
URS,RC2_6_6.TXT,7,11498.79,4996
URS,RC2_6_6.TXT,8,11763.68,4995
URS,RC2_6_6.TXT,9,11697.05,4997
URS,RC2_6_6.TXT,10,11709.37,4999
URS,RC2_6_7.TXT,1,11302.27,4996
URS,RC2_6_7.TXT,2,10974.56,4994
