algorithm,instance,run,best_cost,iteration_found_best
DRLH,R1_6_6.TXT,9,20121.74,4992
DRLH,R1_6_6.TXT,10,19852.27,4868
DRLH,R1_6_7.TXT,1,18760.52,4998
DRLH,R1_6_7.TXT,2,19041.16,4998
DRLH,R1_6_7.TXT,3,18854.18,4978
DRLH,R1_6_7.TXT,4,18920.38,4998
DRLH,R1_6_7.TXT,5,18497.02,4999
DRLH,R1_6_7.TXT,6,18738.89,4994
DRLH,R1_6_7.TXT,7,18723.20,4988
DRLH,R1_6_7.TXT,8,18978.86,4993
DRLH,R1_6_7.TXT,9,18664.42,4999
DRLH,R1_6_7.TXT,10,18326.66,4999
DRLH,R1_6_8.TXT,1,18108.12,4995
DRLH,R1_6_8.TXT,2,18418.20,4883
DRLH,R1_6_8.TXT,3,18050.92,4999
DRLH,R1_6_8.TXT,4,18074.62,4999
DRLH,R1_6_8.TXT,5,17966.49,4998
DRLH,R1_6_8.TXT,6,18176.28,5000
DRLH,R1_6_8.TXT,7,17767.35,4997
DRLH,R1_6_8.TXT,8,17865.06,4947
DRLH,R1_6_8.TXT,9,18088.24,5000
DRLH,R1_6_8.TXT,10,18382.79,4997
DRLH,R1_6_9.TXT,1,20388.67,4984
DRLH,R1_6_9.TXT,2,20094.64,4998
DRLH,R1_6_9.TXT,3,20980.53,4996
DRLH,R1_6_9.TXT,4,20373.41,4998
DRLH,R1_6_9.TXT,5,20861.18,2431
DRLH,R1_6_9.TXT,6,20393.48,4520
DRLH,R1_6_9.TXT,7,19920.77,4903
DRLH,R1_6_9.TXT,8,20212.05,4973
DRLH,R1_6_9.TXT,9,20320.38,4985
DRLH,R1_6_9.TXT,10,20272.58,4985
DRLH,R2_6_1.TXT,1,19022.49,4782
DRLH,R2_6_1.TXT,2,17925.32,4898
DRLH,R2_6_1.TXT,3,18275.87,4981
DRLH,R2_6_1.TXT,4,18445.77,3020
DRLH,R2_6_1.TXT,5,18726.62,4781
DRLH,R2_6_1.TXT,6,18213.13,4955
DRLH,R2_6_1.TXT,7,18871.64,4860
DRLH,R2_6_1.TXT,8,19046.10,4777
DRLH,R2_6_1.TXT,9,18600.80,4936
DRLH,R2_6_1.TXT,10,18858.88,4740
DRLH,R2_6_10.TXT,1,14179.50,4998
DRLH,R2_6_10.TXT,2,14633.32,5000
DRLH,R2_6_10.TXT,3,14030.87,4647
DRLH,R2_6_10.TXT,4,13707.80,4988
DRLH,R2_6_10.TXT,5,13924.29,5000
DRLH,R2_6_10.TXT,6,14169.19,4950
DRLH,R2_6_10.TXT,7,13983.73,4998
DRLH,R2_6_10.TXT,8,14438.64,4961
DRLH,R2_6_10.TXT,9,14106.14,4949
DRLH,R2_6_10.TXT,10,13982.24,4905
DRLH,R2_6_2.TXT,1,16155.58,4970
DRLH,R2_6_2.TXT,2,15953.87,4960
DRLH,R2_6_2.TXT,3,15607.39,4997
DRLH,R2_6_2.TXT,4,15643.10,4979
DRLH,R2_6_2.TXT,5,15240.09,4524
DRLH,R2_6_2.TXT,6,15249.23,4987
DRLH,R2_6_2.TXT,7,15815.19,4708
DRLH,R2_6_2.TXT,8,16016.10,4984
DRLH,R2_6_2.TXT,9,15778.76,4987
DRLH,R2_6_2.TXT,10,15803.42,4997
DRLH,R2_6_3.TXT,1,14032.13,4999
DRLH,R2_6_3.TXT,2,13231.76,3769
DRLH,R2_6_3.TXT,3,12727.92,4978
DRLH,R2_6_3.TXT,4,12560.52,4996
DRLH,R2_6_3.TXT,5,13077.21,4991
DRLH,R2_6_3.TXT,6,13013.63,4988
DRLH,R2_6_3.TXT,7,13179.13,4736
DRLH,R2_6_3.TXT,8,13095.99,4999
DRLH,R2_6_3.TXT,9,13867.21,4994
DRLH,R2_6_3.TXT,10,13519.22,4963
DRLH,R2_6_4.TXT,1,9657.14,4996
DRLH,R2_6_4.TXT,2,9847.12,4998
DRLH,R2_6_4.TXT,3,10039.90,4996
DRLH,R2_6_4.TXT,4,10107.14,4997
DRLH,R2_6_4.TXT,5,9477.45,4994
DRLH,R2_6_4.TXT,6,9407.06,5000
DRLH,R2_6_4.TXT,7,9419.41,4995
DRLH,R2_6_4.TXT,8,10093.75,4982
DRLH,R2_6_4.TXT,9,9724.68,5000
DRLH,R2_6_4.TXT,10,9785.93,4997
DRLH,R2_6_5.TXT,1,15902.46,4998
DRLH,R2_6_5.TXT,2,16437.52,4365
DRLH,R2_6_5.TXT,3,16340.64,4658
DRLH,R2_6_5.TXT,4,16089.54,4536
DRLH,R2_6_5.TXT,5,16781.02,4917
DRLH,R2_6_5.TXT,6,16523.81,4740
DRLH,R2_6_5.TXT,7,16221.48,4998
DRLH,R2_6_5.TXT,8,16316.39,4945
DRLH,R2_6_5.TXT,9,16709.79,4825
DRLH,R2_6_5.TXT,10,16302.74,4980
DRLH,R2_6_6.TXT,1,14434.67,4998
DRLH,R2_6_6.TXT,2,14558.45,3967
DRLH,R2_6_6.TXT,3,14319.70,4082
DRLH,R2_6_6.TXT,4,14720.81,4988
DRLH,R2_6_6.TXT,5,14700.70,5000
DRLH,R2_6_6.TXT,6,14022.07,4999
DRLH,R2_6_6.TXT,7,13961.40,4849
DRLH,R2_6_6.TXT,8,14468.44,4389
DRLH,R2_6_6.TXT,9,13880.77,4995
DRLH,R2_6_6.TXT,10,14544.13,4993
DRLH,R2_6_7.TXT,1,11780.90,4999
DRLH,R2_6_7.TXT,2,12178.38,4996
DRLH,R2_6_7.TXT,3,11846.67,4996
DRLH,R2_6_7.TXT,4,11976.56,4998
DRLH,R2_6_7.TXT,5,11646.58,4997
DRLH,R2_6_7.TXT,6,11872.20,4434
DRLH,R2_6_7.TXT,7,11869.32,4931
DRLH,R2_6_7.TXT,8,11791.08,4995
DRLH,R2_6_7.TXT,9,11823.48,4998
DRLH,R2_6_7.TXT,10,11831.21,4373
DRLH,R2_6_8.TXT,1,9221.73,4901
DRLH,R2_6_8.TXT,2,9214.76,4999
DRLH,R2_6_8.TXT,3,9510.52,4982
DRLH,R2_6_8.TXT,4,9575.16,4983
DRLH,R2_6_8.TXT,5,9697.73,5000
DRLH,R2_6_8.TXT,6,9787.07,4993
DRLH,R2_6_8.TXT,7,9576.48,3452
DRLH,R2_6_8.TXT,8,9450.89,5000
DRLH,R2_6_8.TXT,9,9515.34,4999
DRLH,R2_6_8.TXT,10,9654.18,4998
DRLH,R2_6_9.TXT,1,15610.97,3883
DRLH,R2_6_9.TXT,2,15562.54,4992
DRLH,R2_6_9.TXT,3,15063.77,4888
DRLH,R2_6_9.TXT,4,14983.82,4993
DRLH,R2_6_9.TXT,5,15185.7DRLH,RC2_6_1.TXT,3,13702.64,4970
DRLH,RC2_6_1.TXT,4,13264.16,5000
DRLH,RC2_6_1.TXT,5,13196.85,4249
DRLH,RC2_6_1.TXT,6,13566.88,4846
DRLH,RC2_6_1.TXT,7,13632.91,4986
DRLH,RC2_6_1.TXT,8,13737.23,5000
DRLH,RC2_6_1.TXT,9,13253.11,4994
DRLH,RC2_6_1.TXT,10,13344.38,4840
DRLH,RC2_6_10.TXT,1,11340.99,4999
DRLH,RC2_6_10.TXT,2,11258.03,4992
DRLH,RC2_6_10.TXT,3,11019.50,4969
DRLH,RC2_6_10.TXT,4,11068.80,4999
DRLH,RC2_6_10.TXT,5,10554.71,4996
DRLH,RC2_6_10.TXT,6,11239.98,494DRLH,RC2_6_3.TXT,5,10483.86,4984
DRLH,RC2_6_3.TXT,6,10255.51,4951
998
DRLH,RC2_6_10.TXT,9,11078.00,4999
DRLH,RC2_6_10.TXT,10,11063.10,4957
DRLH,RC2_6_2.TXT,1,12081.69,4996
DRLH,RC2_6_2.TXT,2,12102.16,4943
DRLH,RC2_6_2.TXT,3,12217.31,4628
DRLH,RC2_6_2.TXT,4,12468.89,5000
DRLH,RC2_6_2.TXT,5,11938.54,4984
DRLH,RC2_6_2.TXT,6,12060.86,4720
DRLH,RC2_6_2.TXT,7,11899.99,5000
DRLH,RC2_6_2.TXT,8,12030.77,5000
DRLH,RC2_6_2.TXT,9,11910.74,4999
DRLH,RC2_6_2.TXT,10,12165.29,4978
DRLH,RC2_6_3.TXT,1,10295.46,4999
DRLH,RC2_6_3.TXT,2,10753.25,3602
DRLH,RC2_6_3.TXT,3,10878.07,4988
DRLH,RC2_6_3.TXT,4,10817.63,4990
0
DRLH,RC1_6_2.TXT,8,17871.78,4987
DRLH,RC1_6_2.TXT,9,17884.01,4993
DRLH,RC1_6_2.TXT,10,18039.32,4993
DRLH,RC1_6_3.TXT,1,16914.45,5000
DRLH,RC1_6_3.TXT,2,17192.19,4984
DRLH,RC1_6_3.TXT,3,17103.18,4994
DRLH,RC1_6_3.TXT,4,17317.23,4992
DRLH,RC1_6_3.TXT,5,17144.87,4995
DRLH,RC1_6_3.TXT,6,17420.66,4998
DRLH,RC1_6_3.TXT,7,17280.35,4997
DRLH,RC1_6_3.TXT,8,17324.38,4976
DRLH,RC1_6_3.TXT,9,17149.79,4998
DRLH,RC1_6_3.TXT,10,17177.07,4994
DRLH,RC1_6_4.TXT,1,17334.37,5000
DRLH,RC1_6_4.TXT,2,17177.41,4987
DRLH,RC1_6_4.TXT,3,17222.32,4986
DRLH,RC1_6_4.TXT,4,17227.83,4999
DRLH,RC1_6_4.TXT,5,17325.82,4999
DRLH,RC1_6_4.TXT,6,17203.12,4995
DRLH,RC1_6_4.TXT,7,17372.90,4997
DRLH,RC1_6_4.TXT,8,16907.23,4992
