algorithm,instance,run,best_cost,iteration_found_best
RRT,R1_6_8.TXT,8,18456.61,4998
RRT,R1_6_8.TXT,9,18718.91,4999
RRT,R1_6_8.TXT,10,18736.35,4997
RRT,R1_6_9.TXT,1,20791.00,4990
RRT,R1_6_9.TXT,2,20551.62,4969
RRT,R1_6_9.TXT,3,20643.83,4997
RRT,R1_6_9.TXT,4,20816.93,4995
RRT,R1_6_9.TXT,5,20794.90,4966
RRT,R1_6_9.TXT,6,20775.74,4879
RRT,R1_6_9.TXT,7,20585.72,4998
RRT,R1_6_9.TXT,8,20540.80,4997
RRT,R1_6_9.TXT,9,20588.82,4990
RRT,R1_6_9.TXT,10,20880.53,4997
RRT,R2_6_1.TXT,1,17037.71,4991
RRT,R2_6_1.TXT,2,17153.74,4988
RRT,R2_6_1.TXT,3,16465.25,4998
RRT,R2_6_1.TXT,4,16723.49,4866
RRT,R2_6_1.TXT,5,16863.95,4989
RRT,R2_6_1.TXT,6,16746.47,4777
RRT,R2_6_1.TXT,7,17199.16,4927
RRT,R2_6_1.TXT,8,16767.28,4547
RRT,R2_6_1.TXT,9,16536.37,4936
RRT,R2_6_1.TXT,10,16339.15,4980
RRT,R2_6_10.TXT,1,13023.22,4307
RRT,R2_6_10.TXT,2,12967.36,4913
RRT,R2_6_10.TXT,3,13084.84,4978
RRT,R2_6_10.TXT,4,13011.92,4874
RRT,R2_6_10.TXT,5,13303.72,4999
RRT,R2_6_10.TXT,6,12810.10,4905
RRT,R2_6_10.TXT,7,12863.10,4985
RRT,R2_6_10.TXT,8,12851.39,4999
RRT,R2_6_10.TXT,9,12925.95,4532
RRT,R2_6_10.TXT,10,12878.86,4997
RRT,R2_6_2.TXT,1,14351.80,4999
RRT,R2_6_2.TXT,2,14190.02,4996
RRT,R2_6_2.TXT,3,14348.50,4997
RRT,R2_6_2.TXT,4,14452.29,4987
RRT,R2_6_2.TXT,5,14408.63,4997
RRT,R2_6_2.TXT,6,14385.03,4996
RRT,R2_6_2.TXT,7,14540.58,4940
RRT,R2_6_2.TXT,8,14395.32,4989
RRT,R2_6_2.TXT,9,14409.66,4999
RRT,R2_6_2.TXT,10,14544.33,4978
RRT,R2_6_3.TXT,1,11949.20,4998
RRT,R2_6_3.TXT,2,11612.90,4970
RRT,R2_6_3.TXT,3,11561.43,4982
RRT,R2_6_3.TXT,4,11634.10,4999
RRT,R2_6_3.TXT,5,11707.79,4989
RRT,R2_6_3.TXT,6,11697.79,4994
RRT,R2_6_3.TXT,7,11689.72,4997
RRT,R2_6_3.TXT,8,11690.80,4999
