Kundenr,Alle kunder,Antall leveranser,Antall min. per lev.,Minutter pr M3
2388,HAREID PIZZA OG PUB ,48,5.1875,10.878065189754519
7917,HARØY NYE BARNEHAGE 2024 ,37,6.783783783783784,20.65807916077171
7322,HASUNDGOT IL ,5,1.8,5.014206919605549
7934,HATLAHAUGEN DAGSENTER 2024 ,44,3.5,16.21274490193395
7920,HATLANE OMSORSSENTER 20204 ,50,3.0,3.124057575964584
11074,HATLØY CATERING ,74,5.1891891891891895,4.239525694230612
11083,HATLØY CATERING AS ,2,11.0,2.84234053823594
11085,HATLØY CATERING AS AVD. EXPO ,47,3.8085106382978724,4.3557027464044165
1159,HAVFRUEN MÅLØY ,101,12.277227722772277,10.989475538801134
1188,HAVILA CAPELLA ,29,2.1379310344827585,4.144274217266917
1190,HAVILA CASTOR ,31,3.7419354838709675,7.1272334046056685
7615,HAVILA HOTELL IVAR AASEN ,97,6.309278350515464,7.350961066091145
1178,HAVILA HOTELS KANTINE ,9,3.888888888888889,6.585842696206367
1184,HAVILA POLARIS ,22,3.3636363636363638,5.9422000594219995
1183,HAVILA POLLUX ,29,3.413793103448276,5.6411220704627425
1172,HAVILA SERVICE KANTINE ,34,3.0588235294117645,8.867984699315631
1171,HAVILA SERVICE RESEPSJON ,36,5.388888888888889,15.672714934320013
2617,HELLESYLT BOUTIQUE OG BAR ,8,14.75,66.87446868801361
3339,HELSEHUSET STELLA MARIS ,52,3.2115384615384617,5.653249958616182
9276,HEMIT ÅLESUND ,7,11.571428571428571,212.15295966474594
2547,HERØY OMSORGSSENTER 324000 ,58,8.517241379310345,5.499528643638115
2567,HERØY VGS KANTINE ,35,8.314285714285715,11.305097783268456
2571,HERØY VGS UNDERVISNINGSKJØKKEN ,22,3.5454545454545454,10.55633224296346
11040,HESSACUP ,2,13.5,6.755066299724794
1835,HF NORDFJORD SJUKEHUS ,101,6.8316831683168315,29.42940227604438
12006,HIG INTERNKJØP SL EGEN FAKTURA ,1,0.0,
2497,HJELLE HOTEL AS ,35,12.542857142857143,12.232654499958901
2599,HJØRUNDFJORD CAMPING ,11,3.727272727272727,7.941427132563727
2620,HJØRUNDFJORDHEIMEN ,52,5.634615384615385,8.292355042982983
7634,HOFSETH KANTINE SYVDE ,46,2.391304347826087,6.609742760829463
9246,HOFSETH PROCESSING ,47,3.1914893617021276,13.87860843819393
8066,HOFSETH AALESUND ,51,10.686274509803921,6.614025496158099
1850,HOGATUNET BU OG BEHANDLINGSS. ,31,8.419354838709678,30.713108966815724
9302,HOLE KJØTT AS ,95,6.621052631578947,19.28910597907086
6712,HOLMEN MAT OG DRIKKE ,77,8.415584415584416,12.457398772100346
1179,HORISONT RESTAURANT AS ,28,5.107142857142857,15.969392370204014
6786,HORNDØLA CAMPING ,8,6.75,15.421081189136704
2618,HORNINDAL SKISENTER ,9,4.777777777777778,19.358033583937335
8570,HOTEL 1904 AS ,98,11.46938775510204,5.839155475255043
8408,HOTEL BROSUNDET BRYGGEN ,102,10.901960784313726,7.699614763069628
1910,HOTEL GEIRANGER ,5,31.0,4.8610355385604
8559,HOTEL NOREG ,85,5.258823529411765,5.20009004182757
8131,HUSAFJELLHEIMEN REF.3600SYSTO ,15,3.8666666666666667,11.481715368276022
6763,HYDLAPARKEN ,3,3.0,5.092225868507412
6597,HYGGE ,5,1.8,8.737864077669903
2697,IKORNNES BÅTFORENING ,5,8.4,13.876957642238818
2701,IKORNNES FUS BARNEHAGE ,1,11.0,75.44581618655693
9319,INDIAN MASALA HOUSE ,15,5.066666666666666,14.899214654553866
1057,INNVIK AS ,44,8.409090909090908,15.110984051785747
2700,INNVIK FJORDHOTELL ,55,5.836363636363636,8.495913624348812
2819,ISEHAUG KAFETERIA ,137,8.693430656934307,5.381632285672765
