,Kundenr,Alle kunder,Antall leveranser
524,8882,QUALITY HOTEL WATERFRONT ,137
525,8942,QUALITY HOTEL ÅLESUND ,124
526,7939,RABBEVÅGEN BARNEHAGE ,36
527,8929,RACOON COFFEE ,127
528,5195,RAFTEVOLDS HOTEL ,40
529,8890,RAGNHILD'S CATERING ,98
530,9312,RASOI ÅLESUND ,45
531,7914,RATVIKÅSEN BARNEHAGE ,15
532,2626,RAUS ,54
533,5181,REKKEDAL GJESTEGARD ,40
534,3338,REMMEMSVIK KIOSK & GATEKJØKKEN ,99
535,5901,REM,49
536,2221,RENEX  AVD MYKLEBUST ,94
537,9193,RENHOLDSSENTERET AS ,47
538,13069,RESTAURANT 34 ,15
539,9197,ROCK GIFT SHOP ,2
540,6659,ROKKEN STUDENTHUSET ,14
541,5073,RUNDE MILJØSENTER ,21
542,9164,RUSTA AVD 387 VOLDA ,15
543,9150,RUSTA RETAIL AVD 360 ÅLESUND ,18
544,5064,RUSTØY OVERNATTING ,4
545,13067,SABRURA MOA ,91
546,5853,SABRY SUSHI ,50
547,2494,SALG & UTLEIE BUDA ØCAL ,14
548,3449,SALONG LONGVA FLEM ,2
549,5841,SANDETUN ,11
550,5851,SANDETUN ,53
551,7936,SANDØYTUNET HOVUDKJØKKEN 2024 ,48
552,7905,SANITETSHJEMMET BOKOLLEKTIV ,52
553,8834,SANSESENTERET SULATUNET ,52
554,9328,SCAN ASIAN SHOP KREMMERGÅRDEN ,1
555,9114,SCAN ASIAN SHOP MOA ,7
556,8860,SCANDIC PARKEN AVD RESTAURANT ,11
557,8850,SCANDIC PARKEN HOTELL  MAT ,148
558,8564,SEAFOOD FARMERS OF NORWAY ,51
559,7619,SEAGEMS NORWAY ,9
560,8443,SELECTA NORWAY AVD ÅLESUND ,19
561,9079,SIT KAFE/KANTINE ÅLESUND ,82
562,9065,SIT SUNDEBYGGET STUDENTHUS ,7
563,6085,SJØBAKKEN FJORD CAMPING ,1
564,6017,SJØHOLT CATERING AS ,73
565,6020,SJØHOLT FOLKEHØGSKOLE ,43
566,5904,SJØKANTEN CAFE ,63
567,8905,SK ROLLON ,4
568,7926,SKARBØVIK BARNEHAGE ,42
569,7906,SKARBØVIK SYKEHJEM 2024 ,70
570,9006,SKARBØVIK TANKANLEGG AS ,1
571,779,SKJELTOLE,23
572,3607,SKJÆRBUDA RESTAURANT ,21
573,7915,SKODJE BARNEHAGE 2024 ,28
574,7929,SKODJE OMSORGS. KJØKKEN 2024 ,46
575,7571,SKRØPPATAUSENE ,82
576,788,SKURET PORSELEN OG DESIGN ,10
577,6788,SLICE & BITE ,1
578,6769,SMAK KAFE & CATERING ,74
579,7325,SNORREBUDA ,34
580,3289,SOI ONE ,81
581,6717,SOI ONE VOLDA ,75
582,9294,SOI ONE ÅLESUND ,99
583,6084,SOL CAFÈ ,53
584,13251,SOLSIKKA BARNEHAGE ,44
585,9055,SPAR EIDSNES ,290
586,4220,SPAR ELLINGSØY ,239
587,880,SPAR FISKÅBYGD ,196
588,1845,SPAR FOSNAVÅG ,257
589,2170,SPAR HORNINDAL ,153
590,5550,SPAR HOVDEBYGDA ,207
591,1090,SPAR LANGEVÅG ,300
592,4235,SPAR RAUDEBERG ,201
593,8697,SPAR SPJELKAVIK ,308
594,6600,SPAR STRAUMANE ,204
595,6780,SPAR SVINGEN ,300
596,7010,SPAR SØVIK ,203
