,Kundenr,Alle kunder,Antall leveranser
402,8261,M SUPPLY2  ÅLESUND ,3
403,8262,M SUPPLY3 ÅLESUND ,4
404,8263,M SUPPLY4 ÅLESUND ,3
405,13054,MADELYNN COFFEE ,54
406,3322,MAE KANYA ,9
407,1056,MAGNIFIKK ,45
408,7616,MAMMA MIA ,28
409,3438,MARDINI SPISERI ,44
410,9196,MARITIME PARTNER AS ,44
411,211,MARUTHAM HJØRUNGAVÅG ,59
412,5263,MATSTOVA OPPSTRYN ,58
413,9013,MEET & EAT ,100
414,5084,MELKEVOLL BRETUN CAMPING ,21
415,3735,MENY FOSNAVÅG ,258
416,8620,MENY LERSTAD ,302
417,2220,METIZPORT MYRVAG ,13
418,8793,MF DRYNA 100004 ,7
419,8063,MF FESTØYA ,51
420,8061,MF FINNØY ,13
421,8018,MF FOLDØY ,16
422,8734,MF GEIRANGER 100004 ,10
423,8586,MF GISKØY 100004 ,52
424,8587,MF HADARØY CATERING 100004 ,30
425,8786,MF HJØRUNDFJORD 100004 ,2
426,8581,MF HORNELEN CATERING 100004 ,18
427,8597,MF KVERNES 100004 ,10
428,8594,MF ROVDEHORN CATERING 100004 ,19
429,8582,MF SELJE CATERING 100004 ,16
430,8595,MF SKOPPHORN CATERING 100004 ,28
431,8064,MF SOLAVÅGEN ,48
432,8588,MF SULØY CATERING 100004 ,41
433,8475,MF SUNNYLVSFJORD 100004 ,21
434,8058,MF TIDEFJORD ,39
435,8599,MF VOLDA CATERING 100004 ,2
436,8065,MF ØRLAND ,23
437,3861,MH SERVICE ,6
438,7918,MIDTBYEN BARNEHAGE ,37
439,8349,MILK BAR ,60
440,2371,MILLENNIUM KAFE ,94
441,1097,MINIBAKERIET ,47
442,3643,MIX MÅLØY NY ,42
443,3658,MIX SELJE ,71
444,7587,MMC FIRST PROCESS DIGERNES ,50
445,1189,MMC FIRST PROCESS KANTINE ,46
446,8660,MOA LET'S EAT ,76
447,8785,MOLO BREW ,98
448,8232,MOMENTIUM EVENT ,1
449,3770,MURITUNET AS ,96
450,13058,MØLLA GJESTEHUS ,1
451,3880,MØRE FOLKEHØGSKULE ,48
452,8764,MØRE SUPPLY ,36
453,3891,MØRE TRAFO KANTINE ,89
454,3623,MÅLØY SPISKAMMERS ,93
455,3865,MÅLØY VG SKULE ,42
456,13316,MÅLØY VGS RESTAURANT OG MATFAG ,5
457,9272,NAMASTE ÅLESUND ,68
458,13306,NAPOLI PIZZERIA STRYN ,68
459,1151,NAPOLI,62
460,7888,NARCI CAFE OG PIZZERIA ,25
461,3984,NAUSTET GRILL ,62
462,1060,NERLANDSØYBRU PROSJEKT 21010 ,40
463,3992,NESJARTUN CAMPING ,1
464,6086,NF COWORK AS ,19
465,6644,NILSGARDSTUNET ,74
466,3981,NOGVA MOTORFABRIKK ,24
467,9141,NONNA LINA ,28
468,8038,NOR F. BERTEL.O STEEN ,58
469,9258,NOR F. COLOR LINE ,114
470,8034,NOR F. NIT LONGVA ,45
471,8032,NOR F. OPTIMAR ,62
472,8071,NOR F. POSTVEGEN 11 ,43
473,8070,NOR F. POSTVEGEN 17 ,81
474,8074,NOR F. POSTVEGEN15 ,71
475,8059,NOR F. RØYSEGATA ,81
476,8075,NOR F. SKANSEKAIA 4 ,37
477,8057,NOR F. SPAREB. 1 SMN ,76
478,7620,NOR F. STOKKE KANTINE ,57
479,2394,NOR F. VARD BR.VÅG BÅT ,3
480,2393,NOR F. VARD BRATTVÅG ,126
481,8073,NOR F. VARD ELECTRO ,90
482,7488,NORBRUK VARD BÅT ,9
483,7489,NORBRUK VARD SØVIKA ,128
484,9277,NORDAMP ÅLESUND ,11
485,4002,NORDFJORD HOTELL ,85
486,3999,NORDFJORD KJØTT AS KANTINE ,49
487,10096,NORENGROS ØDEGAARD ENGROS ,32
488,9010,"NORSK SCANIA AS,AVD.6470 ÅLE ",7
489,13326,NYGÅRD CAMPING ,10
490,2812,NYNORSK KULTURSENTRUM ,11
491,6442,NÆRBUTIKKEN NORDDAL ,2
492,7672,NÆRBUTIKKEN ROVDE ,100
493,7284,NÆRBUTIKKEN VELLEDALEN ,98
494,7925,NØRVE BARNEHAGE 2024 ,37
495,774,O.L. BREKKE KAFE CATERING ,52
496,3437,O.P LØDØENS ,10
497,4047,OBS BYGG DIGERNES ,12
498,13115,OLDEIDE MATSENTER STORHUSH. ,49
499,5074,OLDEN CAMPING GYTRI ,11
500,2670,OLDEN FJORDHOTEL ,48
501,5072,OLDEVATN CAMPING ,10
502,5191,OLE RINGDAL AS ,6
503,1968,OLEBUDA ,2
504,13092,OPPSTRYN URTEMANUFAKTUR ,20
505,8483,ORRENESET MISJONSSENTER ,28
506,5129,OSDALS CATERING ,72
507,3895,P.G.FRANTZEN EIENDOM KANTINE ,1
508,9243,PATOGEN ,10
509,13046,PEPPES PIZZA AMFI MOA AVD.319 ,102
510,3671,PERA RESTAURANT ,3
511,8030,PERS CAFE ,30
512,5083,PETRINES GJESTGIVERI ,1
513,7591,PHARMA MARINE ,52
514,9014,PINSEKIRKA FILADELFIA ÅLESUND ,4
515,2633,PIZZA VIVA NAPOLI HELLESYLT ,15
516,13317,POP UP NORGE ,2
517,3642,POPPEN KIOSK ,3
518,5182,PORSGRUND OUTLET ,4
519,2373,POSTEN RESTAURANT OG BAR ,86
520,5183,POWER STRYN ,6
521,7924,PRESTEMARKA BARNEHAGE ,37
522,9259,PULS NORGE AVD ÅLESUND ,5
523,13124,QUALITY HOTEL ULSTEIN ,131
